"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","01-January-2021","-5.0","ACTUAL","100.0","3.2","ACTUAL","100.0","-0.3","AGGREGATED","100.0","58.8","AGGREGATED","100.0","10.9","AGGREGATED","100.0"
"Calgary Int'L CS","02-January-2021","-7.6","ACTUAL","100.0","7.4","ACTUAL","100.0","2.3","AGGREGATED","100.0","52.6","AGGREGATED","100.0","17.8","AGGREGATED","100.0"
"Calgary Int'L CS","03-January-2021","-6.5","ACTUAL","100.0","4.8","ACTUAL","100.0","1.6","AGGREGATED","100.0","52.3","AGGREGATED","100.0","23.8","AGGREGATED","100.0"
"Calgary Int'L CS","04-January-2021","-7.5","ACTUAL","100.0","2.1","ACTUAL","100.0","-1.4","AGGREGATED","100.0","59.7","AGGREGATED","100.0","12.3","AGGREGATED","100.0"
"Calgary Int'L CS","05-January-2021","-5.5","ACTUAL","100.0","4.9","ACTUAL","100.0","-0.2","AGGREGATED","100.0","62.6","AGGREGATED","100.0","15.6","AGGREGATED","100.0"
"Calgary Int'L CS","06-January-2021","-7.6","ACTUAL","100.0","3.2","ACTUAL","100.0","-1.1","AGGREGATED","100.0","64.9","AGGREGATED","100.0","7.8","AGGREGATED","100.0"
"Calgary Int'L CS","07-January-2021","-10.1","ACTUAL","100.0","3.7","ACTUAL","100.0","-4.4","AGGREGATED","100.0","67.5","AGGREGATED","100.0","4.9","AGGREGATED","100.0"
"Calgary Int'L CS","08-January-2021","-16.4","ACTUAL","100.0","-1.0","ACTUAL","100.0","-9.7","AGGREGATED","100.0","72.4","AGGREGATED","100.0","4.3","AGGREGATED","100.0"
"Calgary Int'L CS","09-January-2021","-14.4","ACTUAL","100.0","-0.6","ACTUAL","100.0","-7.6","AGGREGATED","100.0","66.5","AGGREGATED","100.0","7.2","AGGREGATED","100.0"
"Calgary Int'L CS","10-January-2021","-15.2","ACTUAL","100.0","6.7","ACTUAL","100.0","1.0","AGGREGATED","100.0","53.4","AGGREGATED","100.0","22.3","AGGREGATED","100.0"
"Calgary Int'L CS","11-January-2021","-2.6","ACTUAL","100.0","7.7","ACTUAL","100.0","3.4","AGGREGATED","100.0","46.4","AGGREGATED","100.0","16.5","AGGREGATED","100.0"
"Calgary Int'L CS","12-January-2021","-2.5","ACTUAL","100.0","7.5","ACTUAL","100.0","2.2","AGGREGATED","100.0","58.8","AGGREGATED","100.0","11.0","AGGREGATED","100.0"
"Calgary Int'L CS","13-January-2021","-2.7","ACTUAL","100.0","6.9","ACTUAL","100.0","2.0","AGGREGATED","100.0","55.6","AGGREGATED","100.0","30.2","AGGREGATED","100.0"
"Calgary Int'L CS","14-January-2021","-7.3","ACTUAL","100.0","1.4","ACTUAL","100.0","-2.8","AGGREGATED","100.0","47.8","AGGREGATED","100.0","16.3","AGGREGATED","100.0"
"Calgary Int'L CS","15-January-2021","-7.0","ACTUAL","100.0","7.5","ACTUAL","100.0","1.4","AGGREGATED","100.0","50.6","AGGREGATED","100.0","22.6","AGGREGATED","100.0"
"Calgary Int'L CS","16-January-2021","-1.7","ACTUAL","100.0","4.6","ACTUAL","100.0","1.6","AGGREGATED","100.0","43.3","AGGREGATED","100.0","16.9","AGGREGATED","100.0"
"Calgary Int'L CS","17-January-2021","-3.5","ACTUAL","100.0","6.3","ACTUAL","100.0","1.3","AGGREGATED","100.0","59.2","AGGREGATED","100.0","17.3","AGGREGATED","100.0"
"Calgary Int'L CS","18-January-2021","-8.3","ACTUAL","100.0","2.3","ACTUAL","100.0","-0.9","AGGREGATED","100.0","63.9","AGGREGATED","100.0","14.4","AGGREGATED","100.0"
