"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Relative Humidity Avg. (%)","Wind Speed 10 m Avg. (km/h)","Heating Degree Days (DD)","Cooling Degree Days (DD)"
"Calgary Int'L CS","04-April-2021","-5.0","6.6","1.9","66.3","15.1","17.1","0.0"
"Calgary Int'L CS","05-April-2021","-7.3","13.0","3.2","53.2","8.2","17.0","0.0"
"Calgary Int'L CS","06-April-2021","-1.7","15.3","6.7","34.7","12.6","16.2","0.0"
"Calgary Int'L CS","07-April-2021","-2.3","16.7","7.6","35.7","15.0","15.8","0.0"
"Calgary Int'L CS","08-April-2021","-2.1","6.6","1.8","63.5","20.6","14.8","0.0"
"Calgary Int'L CS","09-April-2021","-5.2","11.3","2.4","46.6","15.4","15.0","0.0"
"Calgary Int'L CS","10-April-2021","-5.8","7.9","1.5","48.5","22.0","15.2","0.0"
"Calgary Int'L CS","11-April-2021","-5.2","5.5","-0.5","46.1","17.7","14.5","0.0"
"Calgary Int'L CS","12-April-2021","-5.4","4.7","-1.2","59.1","11.9","14.5","0.0"
"Calgary Int'L CS","13-April-2021","-10.0","7.6","-0.8","48.4","9.2","14.5","0.0"
"Calgary Int'L CS","14-April-2021","-6.6","12.5","3.6","37.9","10.1","14.9","0.0"
"Calgary Int'L CS","15-April-2021","-4.8","14.4","5.8","37.6","10.9","15.4","0.0"
"Calgary Int'L CS","16-April-2021","-4.9","18.2","7.5","33.7","6.2","14.1","0.0"
"Calgary Int'L CS","17-April-2021","-2.4","20.5","9.8","31.6","10.0","12.8","0.0"
"Calgary Int'L CS","18-April-2021","-5.4","11.2","0.0","83.3","19.3","13.3","0.0"
"Calgary Int'L CS","19-April-2021","-3.9","4.9","0.1","64.1","18.8","12.8","0.0"
"Calgary Int'L CS","20-April-2021","-6.8","11.1","3.0","50.9","9.4","11.6","0.0"
"Calgary Int'L CS","21-April-2021","-1.2","18.7","9.6","35.3","14.7","10.7","0.0"
"Calgary Int'L CS","22-April-2021","-4.8","8.8","-1.1","74.0","26.5","11.2","0.0"
"Calgary Int'L CS","23-April-2021","-5.0","1.8","-2.1","65.0","8.2","11.8","0.0"
"Calgary Int'L CS","24-April-2021","-3.7","3.9","0.1","71.8","9.9","11.9","0.0"
"Calgary Int'L CS","25-April-2021","-2.0","3.8","0.6","87.9","8.0","12.1","0.0"
"Calgary Int'L CS","26-April-2021","-5.1","14.0","5.7","50.5","14.0","12.0","0.0"
"Calgary Int'L CS","27-April-2021","-0.2","14.2","7.9","35.2","17.3","11.1","0.0"
"Calgary Int'L CS","28-April-2021","-3.4","17.9","8.7","41.3","17.7","11.6","0.0"
"Calgary Int'L CS","29-April-2021","0.5","21.1","11.9","45.5","13.9","11.8","0.0"
"Calgary Int'L CS","30-April-2021","6.5","21.5","15.2","34.0","21.2","12.2","0.0"
"Calgary Int'L CS","01-May-2021","1.3","12.7","6.7","57.8","16.3","11.4","0.0"
"Calgary Int'L CS","02-May-2021","-0.4","11.0","4.9","70.8","17.6","10.6","0.0"
"Calgary Int'L CS","03-May-2021","-2.4","13.2","6.0","65.7","9.8","11.1","0.0"
"Calgary Int'L CS","04-May-2021","1.4","11.8","6.2","74.8","12.7","10.3","0.0"
"Calgary Int'L CS","05-May-2021","0.1","14.1","7.2","55.2","11.0","10.3","0.0"
"Calgary Int'L CS","06-May-2021","1.9","19.7","11.3","42.1","24.4","10.3","0.0"
"Calgary Int'L CS","07-May-2021","5.5","16.2","10.1","51.3","15.0","10.7","0.0"
"Calgary Int'L CS","08-May-2021","0.5","5.6","2.4","91.2","28.8","10.0","0.0"
"Calgary Int'L CS","09-May-2021","0.5","2.7","1.6","92.9","11.6","10.5","0.0"
"Calgary Int'L CS","10-May-2021","-3.4","13.5","5.6","64.2","11.0","10.7","0.0"
"Calgary Int'L CS","11-May-2021","2.9","13.6","7.8","60.3","15.3","9.6","0.0"
"Calgary Int'L CS","12-May-2021","-1.7","18.0","9.6","50.0","8.9","8.2","0.1"
"Calgary Int'L CS","13-May-2021","6.0","16.6","11.0","51.0","13.6","8.3","0.0"
"Calgary Int'L CS","14-May-2021","1.7","19.7","11.9","49.6","6.8","7.5","0.0"
"Calgary Int'L CS","15-May-2021","2.6","22.2","14.7","41.2","10.6","7.5","0.1"
"Calgary Int'L CS","16-May-2021","8.6","24.9","16.9","37.2","13.2","7.3","0.1"
"Calgary Int'L CS","17-May-2021","10.1","27.1","17.2","43.2","15.1","7.5","0.1"
"Calgary Int'L CS","18-May-2021","5.8","17.1","11.0","47.5","27.6","7.7","0.1"
"Calgary Int'L CS","19-May-2021","0.7","7.7","4.2","65.9","18.6","8.0","0.0"
"Calgary Int'L CS","20-May-2021","-1.8","2.9","0.6","75.6","13.7","8.6","0.0"
"Calgary Int'L CS","21-May-2021","-0.3","11.0","4.7","51.0","8.4","8.7","0.0"
"Calgary Int'L CS","22-May-2021","-2.0","13.6","6.4","53.6","10.9","8.6","0.0"
"Calgary Int'L CS","23-May-2021","1.9","10.7","5.0","83.7","15.1","7.5","0.1"
"Calgary Int'L CS","24-May-2021","1.3","10.3","6.5","91.1","23.1","7.7","0.1"
"Calgary Int'L CS","25-May-2021","5.8","12.0","8.5","79.9","11.6","6.8","0.0"
"Calgary Int'L CS","26-May-2021","4.7","18.7","10.6","74.8","19.7","7.2","0.0"
"Calgary Int'L CS","27-May-2021","3.6","22.7","14.2","49.5","18.6","6.7","0.0"
"Calgary Int'L CS","28-May-2021","4.8","17.7","11.1","44.5","20.1","6.4","0.1"
"Calgary Int'L CS","29-May-2021","4.3","18.7","12.3","38.5","10.8","6.5","0.0"
"Calgary Int'L CS","30-May-2021","5.8","22.4","15.3","34.8","9.8","5.9","0.0"
"Calgary Int'L CS","31-May-2021","8.0","24.0","17.4","38.4","11.1","5.3","0.0"
"Calgary Int'L CS","01-June-2021","11.1","26.9","19.7","41.2","8.8","5.2","0.0"
"Calgary Int'L CS","02-June-2021","10.4","30.4","22.1","36.7","7.7","5.3","0.1"
"Calgary Int'L CS","03-June-2021","11.1","32.0","22.6","38.7","11.3","5.3","0.0"
"Calgary Int'L CS","04-June-2021","13.0","28.1","20.6","42.8","17.4","5.1","0.0"
"Calgary Int'L CS","05-June-2021","8.4","16.6","11.9","73.3","16.5","5.0","0.0"
"Calgary Int'L CS","06-June-2021","5.7","15.4","9.4","70.3","14.8","6.2","0.1"
"Calgary Int'L CS","07-June-2021","4.4","12.4","7.8","69.4","21.2","6.2","0.2"
"Calgary Int'L CS","08-June-2021","3.0","14.8","9.1","69.4","10.6","5.9","0.3"
"Calgary Int'L CS","09-June-2021","4.4","14.9","10.1","83.5","12.0","5.8","0.1"
"Calgary Int'L CS","10-June-2021","6.9","12.5","10.1","76.7","13.6","5.8","0.0"
"Calgary Int'L CS","11-June-2021","1.9","19.7","12.3","44.5","11.7","5.4","0.0"
"Calgary Int'L CS","12-June-2021","3.7","21.2","13.9","41.8","11.9","5.4","0.1"
"Calgary Int'L CS","13-June-2021","4.1","29.2","17.7","42.5","13.2","4.7","0.1"
"Calgary Int'L CS","14-June-2021","12.1","32.5","22.0","50.4","10.9","5.7","0.0"
"Calgary Int'L CS","15-June-2021","13.9","26.2","19.3","55.9","21.7","5.9","0.0"
"Calgary Int'L CS","16-June-2021","10.2","20.9","16.1","37.9","25.4","5.2","0.0"
"Calgary Int'L CS","17-June-2021","7.1","24.0","15.9","35.8","15.4","5.2","0.0"
"Calgary Int'L CS","18-June-2021","6.0","24.6","16.1","47.1","11.8","5.3","0.1"
"Calgary Int'L CS","19-June-2021","10.7","16.0","12.8","75.1","12.7","4.7","0.0"
"Calgary Int'L CS","20-June-2021","9.2","21.7","15.2","57.4","15.4","4.2","0.1"
"Calgary Int'L CS","21-June-2021","7.2","27.1","18.2","42.3","8.3","3.7","0.1"
"Calgary Int'L CS","22-June-2021","9.8","31.2","22.8","33.0","15.7","3.7","0.1"
"Calgary Int'L CS","23-June-2021","12.9","23.6","18.5","48.7","15.7","3.8","0.0"
"Calgary Int'L CS","24-June-2021","11.0","19.9","15.0","74.9","10.0","4.3","0.0"
"Calgary Int'L CS","25-June-2021","10.9","26.8","19.9","55.0","16.2","3.6","0.2"
"Calgary Int'L CS","26-June-2021","14.3","30.2","23.5","49.8","12.6","3.8","0.5"
"Calgary Int'L CS","27-June-2021","16.0","30.0","23.6","52.5","9.6","3.4","0.4"
"Calgary Int'L CS","28-June-2021","14.9","34.4","25.4","47.8","13.1","3.0","0.4"
"Calgary Int'L CS","29-June-2021","16.1","36.2","27.3","42.3","13.0","3.1","0.3"
"Calgary Int'L CS","30-June-2021","14.5","36.0","27.3","32.9","18.5","3.1","0.3"
"Calgary Int'L CS","01-July-2021","17.4","36.1","27.0","33.0","19.4","2.8","0.2"
"Calgary Int'L CS","02-July-2021","15.1","30.0","22.7","58.3","15.4","3.2","0.3"
"Calgary Int'L CS","03-July-2021","14.5","25.7","20.0","62.8","11.7","2.9","0.6"
"Calgary Int'L CS","04-July-2021","12.9","18.8","16.0","86.2","12.9","3.1","0.4"
"Calgary Int'L CS","05-July-2021","12.7","17.6","14.8","78.6","8.1","3.5","0.3"
"Calgary Int'L CS","06-July-2021","12.8","23.5","17.7","74.0","9.9","3.1","0.4"
"Calgary Int'L CS","07-July-2021","11.6","25.2","18.8","73.8","9.1","2.7","0.3"
"Calgary Int'L CS","08-July-2021","13.3","26.1","19.3","64.4","8.1","2.2","0.5"
"Calgary Int'L CS","09-July-2021","12.0","27.2","20.5","57.2","7.1","2.0","0.8"
"Calgary Int'L CS","10-July-2021","13.1","31.1","22.8","48.9","11.9","2.5","0.6"
"Calgary Int'L CS","11-July-2021","13.5","22.8","17.6","64.2","10.7","2.4","0.5"
"Calgary Int'L CS","12-July-2021","10.8","25.2","18.8","62.2","8.5","1.6","0.7"
"Calgary Int'L CS","13-July-2021","11.9","27.1","20.4","56.5","10.5","1.9","0.8"
"Calgary Int'L CS","14-July-2021","13.4","30.5","22.1","53.5","11.6","2.4","0.5"
"Calgary Int'L CS","15-July-2021","12.9","28.6","21.7","54.9","10.9","2.7","0.5"
"Calgary Int'L CS","16-July-2021","16.4","25.9","20.5","55.5","14.0","2.6","0.6"
"Calgary Int'L CS","17-July-2021","11.8","23.3","17.1","69.2","17.1","2.3","0.8"
"Calgary Int'L CS","18-July-2021","13.0","20.5","16.0","82.1","13.3","2.1","0.9"
"Calgary Int'L CS","19-July-2021","12.0","24.1","17.0","83.0","11.4","2.2","0.6"
"Calgary Int'L CS","20-July-2021","15.2","22.2","17.4","88.5","11.0","1.9","0.4"
"Calgary Int'L CS","21-July-2021","15.4","27.8","19.8","64.2","15.2","1.7","0.5"
"Calgary Int'L CS","22-July-2021","9.6","25.3","15.8","59.7","12.6","1.5","0.7"
"Calgary Int'L CS","23-July-2021","8.4","27.0","18.1","38.8","15.5","1.3","0.8"
"Calgary Int'L CS","24-July-2021","7.7","28.0","18.8","41.2","9.8","1.9","0.5"
"Calgary Int'L CS","25-July-2021","10.4","26.3","18.9","51.4","10.7","2.0","0.7"
"Calgary Int'L CS","26-July-2021","9.4","25.2","18.0","62.7","14.2","1.6","0.4"
"Calgary Int'L CS","27-July-2021","10.7","24.0","18.0","63.1","14.7","1.6","0.8"
"Calgary Int'L CS","28-July-2021","10.9","27.0","19.7","58.8","9.9","1.2","0.8"
"Calgary Int'L CS","29-July-2021","14.0","27.5","21.4","58.6","12.3","1.2","1.0"
"Calgary Int'L CS","30-July-2021","13.2","30.1","21.4","56.8","11.6","1.4","1.0"
"Calgary Int'L CS","31-July-2021","12.6","31.0","21.7","48.0","7.3","1.8","0.8"
"Calgary Int'L CS","01-August-2021","13.5","33.4","24.2","42.8","12.9","2.0","0.8"
"Calgary Int'L CS","02-August-2021","18.6","24.4","21.2","71.8","15.0","1.9","0.7"
"Calgary Int'L CS","03-August-2021","16.8","31.3","23.3","52.8","10.7","2.2","0.6"
"Calgary Int'L CS","04-August-2021","12.7","28.2","20.3","56.5","10.5","2.0","0.4"
"Calgary Int'L CS","05-August-2021","11.1","31.1","21.9","44.9","11.2","1.7","0.8"
"Calgary Int'L CS","06-August-2021","12.1","27.9","19.9","53.7","11.9","1.7","0.7"
"Calgary Int'L CS","07-August-2021","13.4","26.1","19.0","49.7","15.0","1.9","0.7"
"Calgary Int'L CS","08-August-2021","11.4","16.7","13.8","66.3","11.0","2.7","0.5"
"Calgary Int'L CS","09-August-2021","6.8","27.3","17.8","54.1","11.5","2.1","0.7"
"Calgary Int'L CS","10-August-2021","12.7","22.4","17.8","53.6","15.8","2.8","0.5"
"Calgary Int'L CS","11-August-2021","16.0","22.3","18.8","44.5","18.3","2.7","0.4"
"Calgary Int'L CS","12-August-2021","12.3","25.5","18.8","42.3","6.9","2.6","0.4"
"Calgary Int'L CS","13-August-2021","10.0","32.3","21.2","40.5","8.3","2.2","0.8"
"Calgary Int'L CS","14-August-2021","11.5","34.0","23.7","33.7","9.8","2.1","0.5"
"Calgary Int'L CS","15-August-2021","13.7","31.4","22.9","40.9","12.6","3.0","0.5"
"Calgary Int'L CS","16-August-2021","10.6","19.9","16.6","65.4","11.3","2.9","0.5"
"Calgary Int'L CS","17-August-2021","7.9","11.3","10.1","90.8","13.0","2.7","0.7"
"Calgary Int'L CS","18-August-2021","4.6","19.7","12.4","67.1","13.0","2.3","1.1"
"Calgary Int'L CS","19-August-2021","7.2","14.4","11.8","83.4","13.3","2.4","0.3"
"Calgary Int'L CS","20-August-2021","9.5","18.7","13.5","67.7","11.7","2.4","0.2"
"Calgary Int'L CS","21-August-2021","6.9","19.0","12.2","74.9","13.1","2.8","0.5"
"Calgary Int'L CS","22-August-2021","8.5","20.4","12.4","78.6","13.1","3.2","0.3"
"Calgary Int'L CS","23-August-2021","6.4","13.0","9.1","80.8","25.7","3.1","0.2"
"Calgary Int'L CS","24-August-2021","6.4","16.7","10.8","64.3","17.0","3.8","0.3"
"Calgary Int'L CS","25-August-2021","4.7","21.1","13.1","59.0","14.8","3.4","0.2"
"Calgary Int'L CS","26-August-2021","5.2","22.6","14.7","53.3","6.6","3.1","0.2"
"Calgary Int'L CS","27-August-2021","9.8","19.5","14.3","62.8","15.5","3.0","0.3"
"Calgary Int'L CS","28-August-2021","4.9","22.0","14.5","59.3","7.4","3.3","0.4"
"Calgary Int'L CS","29-August-2021","8.1","24.7","16.9","47.7","8.7","3.5","0.5"
"Calgary Int'L CS","30-August-2021","7.5","24.2","16.0","51.7","11.5","4.1","0.4"
"Calgary Int'L CS","31-August-2021","7.5","19.0","11.9","73.8","15.5","4.5","0.3"
"Calgary Int'L CS","01-September-2021","4.9","15.6","9.8","67.3","18.2","4.3","0.1"
"Calgary Int'L CS","02-September-2021","5.3","16.0","10.9","62.2","15.7","4.5","0.2"
"Calgary Int'L CS","03-September-2021","5.4","21.0","13.7","56.1","7.7","4.6","0.1"
"Calgary Int'L CS","04-September-2021","4.2","24.5","14.7","50.7","8.9","5.5","0.2"
"Calgary Int'L CS","05-September-2021","13.2","25.5","20.4","33.2","15.8","5.9","0.3"
"Calgary Int'L CS","06-September-2021","8.1","22.5","15.5","46.0","10.5","5.9","0.1"
"Calgary Int'L CS","07-September-2021","6.0","23.4","14.6","49.3","9.3","5.2","0.3"
"Calgary Int'L CS","08-September-2021","7.8","22.6","14.5","56.5","9.6","5.5","0.1"
"Calgary Int'L CS","09-September-2021","7.8","27.4","16.9","55.2","8.6","6.5","0.1"
"Calgary Int'L CS","10-September-2021","7.2","20.5","14.3","65.9","13.7","6.1","0.0"
"Calgary Int'L CS","11-September-2021","9.9","14.8","11.6","88.7","10.6","5.9","0.0"
"Calgary Int'L CS","12-September-2021","9.4","15.9","11.8","85.2","11.7","6.8","0.1"
"Calgary Int'L CS","13-September-2021","5.6","17.4","11.6","68.5","6.2","7.7","0.0"
"Calgary Int'L CS","14-September-2021","3.1","20.1","12.6","50.9","8.9","7.1","0.0"
"Calgary Int'L CS","15-September-2021","4.0","14.3","7.8","65.1","17.0","6.8","0.0"
"Calgary Int'L CS","16-September-2021","1.7","14.8","8.2","40.4","15.4","6.9","0.1"
"Calgary Int'L CS","17-September-2021","0.3","20.5","9.0","52.1","8.1","7.7","0.0"
"Calgary Int'L CS","18-September-2021","10.8","22.1","16.6","41.9","22.8","8.0","0.0"
"Calgary Int'L CS","19-September-2021","3.5","17.6","11.0","43.9","11.7","7.9","0.0"
"Calgary Int'L CS","20-September-2021","0.1","17.2","9.2","51.8","9.3","8.9","0.0"
"Calgary Int'L CS","21-September-2021","3.2","23.0","14.3","39.4","16.9","9.2","0.0"
"Calgary Int'L CS","22-September-2021","10.8","17.9","14.9","42.9","12.7","7.9","0.1"
"Calgary Int'L CS","23-September-2021","2.9","15.0","9.7","49.9","8.8","7.1","0.3"
"Calgary Int'L CS","24-September-2021","2.2","25.4","13.7","49.4","10.6","6.6","0.2"
"Calgary Int'L CS","25-September-2021","7.3","20.7","15.7","53.6","9.9","6.4","0.1"
"Calgary Int'L CS","26-September-2021","7.0","25.7","15.1","54.8","8.8","7.3","0.0"
"Calgary Int'L CS","27-September-2021","6.6","24.2","15.7","45.1","16.9","7.9","0.0"
"Calgary Int'L CS","28-September-2021","7.5","17.4","12.2","42.1","16.8","8.0","0.0"
"Calgary Int'L CS","29-September-2021","2.3","17.1","9.8","40.6","12.2","8.2","0.0"
"Calgary Int'L CS","30-September-2021","3.9","22.6","14.0","44.9","13.9","9.5","0.0"
"Calgary Int'L CS","01-October-2021","4.9","16.2","11.6","39.2","10.9","10.4","0.0"
"Calgary Int'L CS","02-October-2021","0.4","18.6","9.3","44.0","12.7","11.4","0.0"
"Calgary Int'L CS","03-October-2021","3.0","20.3","11.7","42.8","14.6","12.0","0.0"
"Calgary Int'L CS","04-October-2021","-2.1","14.0","6.0","63.6","7.4","11.3","0.0"
"Calgary Int'L CS","05-October-2021","1.9","23.4","12.4","43.8","14.1","11.0","0.0"
"Calgary Int'L CS","06-October-2021","1.2","12.9","6.0","63.4","13.7","9.8","0.0"
"Calgary Int'L CS","07-October-2021","-2.7","13.3","5.7","52.8","11.5","10.3","0.0"
"Calgary Int'L CS","08-October-2021","-3.9","12.4","4.2","39.0","6.9","11.7","0.0"
