"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Relative Humidity Avg. (%)","Wind Speed 10 m Avg. (km/h)","Heating Degree Days (DD)","Cooling Degree Days (DD)"
"Calgary Int'L CS","01-January-2021","-5.0","3.2","-0.3","58.8","10.9","26.9","0.0"
"Calgary Int'L CS","02-January-2021","-7.6","7.4","2.3","52.6","17.8","25.9","0.0"
"Calgary Int'L CS","03-January-2021","-6.5","4.8","1.6","52.3","23.8","26.0","0.0"
"Calgary Int'L CS","04-January-2021","-7.5","2.1","-1.4","59.7","12.3","26.2","0.0"
"Calgary Int'L CS","05-January-2021","-5.5","4.9","-0.2","62.6","15.6","27.2","0.0"
"Calgary Int'L CS","06-January-2021","-7.6","3.2","-1.1","64.9","7.8","25.9","0.0"
"Calgary Int'L CS","07-January-2021","-10.1","3.7","-4.4","67.5","4.9","25.8","0.0"
"Calgary Int'L CS","08-January-2021","-16.4","-1.0","-9.7","72.4","4.3","25.8","0.0"
"Calgary Int'L CS","09-January-2021","-14.4","-0.6","-7.6","66.5","7.2","27.0","0.0"
"Calgary Int'L CS","10-January-2021","-15.2","6.7","1.0","53.4","22.3","26.9","0.0"
"Calgary Int'L CS","11-January-2021","-2.6","7.7","3.4","46.4","16.5","27.5","0.0"
"Calgary Int'L CS","12-January-2021","-2.5","7.5","2.2","58.8","11.0","26.5","0.0"
"Calgary Int'L CS","13-January-2021","-2.7","6.9","2.0","55.6","30.2","25.8","0.0"
"Calgary Int'L CS","14-January-2021","-7.3","1.4","-2.8","47.8","16.3","25.7","0.0"
"Calgary Int'L CS","15-January-2021","-7.0","7.5","1.4","50.6","22.6","25.5","0.0"
"Calgary Int'L CS","16-January-2021","-1.7","4.6","1.6","43.3","16.9","25.9","0.0"
"Calgary Int'L CS","17-January-2021","-3.5","6.3","1.3","59.2","17.3","25.2","0.0"
"Calgary Int'L CS","18-January-2021","-8.3","2.3","-0.9","63.9","14.4","23.6","0.0"
"Calgary Int'L CS","19-January-2021","-12.6","9.4","-0.1","48.8","18.9","22.6","0.0"
"Calgary Int'L CS","20-January-2021","-11.2","3.9","-3.4","59.5","13.1","23.5","0.0"
"Calgary Int'L CS","21-January-2021","-12.0","-2.0","-6.8","63.9","9.4","23.4","0.0"
"Calgary Int'L CS","22-January-2021","-13.5","-3.6","-8.6","68.5","8.0","23.4","0.0"
"Calgary Int'L CS","23-January-2021","-15.9","-2.4","-10.2","72.7","10.4","24.1","0.0"
"Calgary Int'L CS","24-January-2021","-16.5","-13.2","-15.3","85.4","7.0","24.2","0.0"
"Calgary Int'L CS","25-January-2021","-17.8","-14.2","-15.5","85.4","14.6","24.0","0.0"
"Calgary Int'L CS","26-January-2021","-17.5","-12.9","-15.0","85.8","10.3","24.5","0.0"
"Calgary Int'L CS","27-January-2021","-14.5","-11.9","-12.7","87.8","7.5","24.3","0.0"
"Calgary Int'L CS","28-January-2021","-15.9","-13.5","-14.8","85.9","9.1","25.2","0.0"
"Calgary Int'L CS","29-January-2021","-16.7","-6.3","-12.4","84.9","6.3","23.7","0.0"
"Calgary Int'L CS","30-January-2021","-19.2","0.5","-9.8","71.5","4.9","22.0","0.0"
"Calgary Int'L CS","31-January-2021","-13.1","4.8","-4.2","70.5","7.4","23.0","0.0"
"Calgary Int'L CS","01-February-2021","-10.4","9.7","-4.1","77.9","7.4","23.0","0.0"
"Calgary Int'L CS","02-February-2021","-13.6","-8.3","-10.9","86.1","13.7","23.5","0.0"
"Calgary Int'L CS","03-February-2021","-20.3","-12.0","-15.1","80.5","7.7","23.6","0.0"
"Calgary Int'L CS","04-February-2021","-21.8","-0.9","-8.1","75.2","11.5","23.1","0.0"
"Calgary Int'L CS","05-February-2021","-22.0","-6.3","-16.6","83.8","13.0","23.5","0.0"
"Calgary Int'L CS","06-February-2021","-24.3","-20.1","-21.7","77.3","11.1","25.0","0.0"
"Calgary Int'L CS","07-February-2021","-30.7","-23.8","-26.5","75.6","9.6","24.6","0.0"
"Calgary Int'L CS","08-February-2021","-31.8","-24.0","-26.5","72.9","11.7","25.5","0.0"
"Calgary Int'L CS","09-February-2021","-31.4","-24.7","-27.6","66.2","11.2","26.2","0.0"
"Calgary Int'L CS","10-February-2021","-32.1","-26.3","-28.0","63.8","12.7","26.3","0.0"
"Calgary Int'L CS","11-February-2021","-33.4","-25.6","-29.4","67.2","13.5","25.3","0.0"
"Calgary Int'L CS","12-February-2021","-29.8","-17.9","-20.9","69.9","13.6","22.9","0.0"
"Calgary Int'L CS","13-February-2021","-27.2","-18.9","-21.4","74.7","12.3","21.8","0.0"
"Calgary Int'L CS","14-February-2021","-28.3","-21.4","-24.7","75.0","20.1","23.4","0.0"
"Calgary Int'L CS","15-February-2021","-25.4","-15.0","-21.4","75.0","9.6","22.1","0.0"
"Calgary Int'L CS","16-February-2021","-23.9","-3.9","-12.8","78.4","5.5","23.2","0.0"
"Calgary Int'L CS","17-February-2021","-13.7","-6.5","-9.4","71.4","14.0","23.5","0.0"
"Calgary Int'L CS","18-February-2021","-17.8","-3.5","-10.1","66.0","10.5","23.2","0.0"
"Calgary Int'L CS","19-February-2021","-5.9","2.6","-0.7","43.4","22.6","22.7","0.0"
"Calgary Int'L CS","20-February-2021","-6.9","2.2","-1.1","39.5","24.8","23.4","0.0"
"Calgary Int'L CS","21-February-2021","-2.6","8.3","3.2","44.7","25.8","23.1","0.0"
"Calgary Int'L CS","22-February-2021","-1.4","7.3","3.1","64.1","21.0","24.0","0.0"
"Calgary Int'L CS","23-February-2021","-6.6","1.4","-2.2","76.2","11.6","24.5","0.0"
"Calgary Int'L CS","24-February-2021","-11.3","0.9","-4.0","56.5","14.4","25.0","0.0"
"Calgary Int'L CS","25-February-2021","-4.1","3.3","0.0","39.7","22.4","25.4","0.0"
"Calgary Int'L CS","26-February-2021","-13.5","0.1","-6.7","68.0","16.6","24.8","0.0"
"Calgary Int'L CS","27-February-2021","-15.9","-6.0","-11.0","75.7","9.0","23.3","0.0"
"Calgary Int'L CS","28-February-2021","-7.9","6.0","1.0","46.2","21.1","23.4","0.0"
"Calgary Int'L CS","01-March-2021","0.4","9.2","5.0","46.9","23.2","24.0","0.0"
"Calgary Int'L CS","02-March-2021","-6.3","6.2","1.7","60.0","9.1","23.6","0.0"
"Calgary Int'L CS","03-March-2021","-4.9","9.0","2.0","55.9","9.0","23.6","0.0"
"Calgary Int'L CS","04-March-2021","-7.4","11.0","1.7","60.7","6.1","24.8","0.0"
"Calgary Int'L CS","05-March-2021","-3.5","12.8","5.0","48.3","14.3","25.1","0.0"
"Calgary Int'L CS","06-March-2021","-3.8","5.8","2.1","63.8","14.9","25.5","0.0"
"Calgary Int'L CS","07-March-2021","-6.6","7.9","0.7","49.0","10.8","24.4","0.0"
"Calgary Int'L CS","08-March-2021","-4.9","5.2","0.5","55.2","13.0","23.1","0.0"
"Calgary Int'L CS","09-March-2021","-6.2","6.0","-0.8","66.2","10.0","21.6","0.0"
"Calgary Int'L CS","10-March-2021","-11.3","-1.1","-5.3","62.6","16.7","21.0","0.0"
"Calgary Int'L CS","11-March-2021","-13.3","4.9","-4.6","61.8","10.2","19.4","0.0"
"Calgary Int'L CS","12-March-2021","-3.1","13.9","5.9","32.3","9.5","18.2","0.0"
"Calgary Int'L CS","13-March-2021","-3.3","14.2","5.3","49.2","13.1","18.6","0.0"
"Calgary Int'L CS","14-March-2021","-2.0","18.6","7.3","39.8","13.5","18.9","0.0"
"Calgary Int'L CS","15-March-2021","-3.3","7.0","1.4","48.8","19.3","19.5","0.0"
"Calgary Int'L CS","16-March-2021","-6.6","8.8","-0.1","58.8","8.9","20.4","0.0"
"Calgary Int'L CS","17-March-2021","-7.8","12.7","1.6","55.5","9.2","19.8","0.0"
"Calgary Int'L CS","18-March-2021","-5.0","16.2","6.1","41.4","10.0","19.0","0.0"
"Calgary Int'L CS","19-March-2021","0.9","15.1","7.9","38.0","20.5","18.5","0.0"
"Calgary Int'L CS","20-March-2021","-2.1","10.9","4.4","37.4","19.0","18.3","0.0"
"Calgary Int'L CS","21-March-2021","-3.6","7.9","1.0","46.4","16.1","18.5","0.0"
"Calgary Int'L CS","22-March-2021","-2.1","7.1","2.5","48.7","19.9","18.9","0.0"
"Calgary Int'L CS","23-March-2021","-6.3","5.2","-0.3","62.3","12.2","19.7","0.0"
"Calgary Int'L CS","24-March-2021","-1.7","9.0","3.8","48.8","17.1","19.9","0.0"
"Calgary Int'L CS","25-March-2021","-5.9","-1.7","-4.2","93.3","12.6","18.1","0.0"
"Calgary Int'L CS","26-March-2021","-4.8","2.3","-1.9","85.4","8.5","17.7","0.0"
"Calgary Int'L CS","27-March-2021","-2.8","13.1","3.8","61.6","13.3","16.8","0.0"
"Calgary Int'L CS","28-March-2021","-2.4","14.6","7.5","46.1","27.9","16.9","0.0"
"Calgary Int'L CS","29-March-2021","-10.8","-2.3","-6.2","60.5","42.7","16.6","0.0"
"Calgary Int'L CS","30-March-2021","-10.9","4.6","-3.1","44.9","17.4","16.1","0.0"
"Calgary Int'L CS","31-March-2021","-4.0","12.2","5.0","34.5","22.1","16.2","0.0"
"Calgary Int'L CS","01-April-2021","-0.6","16.9","7.5","33.9","22.4","17.1","0.0"
"Calgary Int'L CS","02-April-2021","-4.4","11.7","4.2","47.5","12.8","17.4","0.0"
"Calgary Int'L CS","03-April-2021","-2.7","14.8","5.5","43.2","10.5","17.4","0.0"
