"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","30-January-2018","-6.6","ACTUAL","100.0","6.7","ACTUAL","100.0","0.1","AGGREGATED","100.0","58.0","AGGREGATED","100.0","18.8","AGGREGATED","100.0"
"Calgary Int'L CS","31-January-2018","-18.9","ACTUAL","100.0","-4.1","ACTUAL","100.0","-16.1","AGGREGATED","100.0","79.3","AGGREGATED","100.0","13.5","AGGREGATED","100.0"
"Calgary Int'L CS","01-February-2018","-19.2","ACTUAL","100.0","-11.7","ACTUAL","100.0","-16.8","AGGREGATED","100.0","79.7","AGGREGATED","100.0","11.1","AGGREGATED","100.0"
"Calgary Int'L CS","02-February-2018","-21.5","ACTUAL","100.0","-18.0","ACTUAL","100.0","-19.3","AGGREGATED","100.0","81.9","AGGREGATED","100.0","10.6","AGGREGATED","100.0"
"Calgary Int'L CS","03-February-2018","-25.4","ACTUAL","100.0","-18.3","ACTUAL","100.0","-20.5","AGGREGATED","100.0","78.4","AGGREGATED","100.0","19.3","AGGREGATED","100.0"
"Calgary Int'L CS","04-February-2018","-26.2","ACTUAL","100.0","-8.5","ACTUAL","100.0","-17.6","AGGREGATED","100.0","78.2","AGGREGATED","100.0","7.5","AGGREGATED","100.0"
"Calgary Int'L CS","05-February-2018","-22.0","ACTUAL","100.0","-12.2","ACTUAL","100.0","-16.5","AGGREGATED","100.0","66.9","AGGREGATED","100.0","12.4","AGGREGATED","100.0"
"Calgary Int'L CS","06-February-2018","-20.7","ACTUAL","100.0","-10.2","ACTUAL","100.0","-13.5","AGGREGATED","100.0","61.3","AGGREGATED","100.0","16.3","AGGREGATED","100.0"
"Calgary Int'L CS","07-February-2018","-15.4","ACTUAL","100.0","-9.0","ACTUAL","100.0","-12.9","AGGREGATED","100.0","80.4","AGGREGATED","100.0","9.6","AGGREGATED","100.0"
"Calgary Int'L CS","08-February-2018","-27.9","ACTUAL","100.0","-15.2","ACTUAL","100.0","-18.8","AGGREGATED","100.0","81.7","AGGREGATED","100.0","10.0","AGGREGATED","100.0"
"Calgary Int'L CS","09-February-2018","-31.6","ACTUAL","100.0","-11.2","ACTUAL","100.0","-24.0","AGGREGATED","100.0","72.3","AGGREGATED","100.0","2.8","AGGREGATED","100.0"
"Calgary Int'L CS","10-February-2018","-24.2","ACTUAL","100.0","-4.7","ACTUAL","100.0","-12.1","AGGREGATED","100.0","65.6","AGGREGATED","100.0","9.2","AGGREGATED","100.0"
"Calgary Int'L CS","11-February-2018","-26.4","ACTUAL","100.0","-7.0","ACTUAL","100.0","-17.0","AGGREGATED","100.0","79.9","AGGREGATED","100.0","11.9","AGGREGATED","100.0"
"Calgary Int'L CS","12-February-2018","-28.9","ACTUAL","100.0","2.4","ACTUAL","100.0","-15.4","AGGREGATED","100.0","58.3","AGGREGATED","100.0","12.2","AGGREGATED","100.0"
"Calgary Int'L CS","13-February-2018","1.0","ACTUAL","100.0","9.0","ACTUAL","100.0","4.9","AGGREGATED","100.0","46.5","AGGREGATED","100.0","32.7","AGGREGATED","100.0"
"Calgary Int'L CS","14-February-2018","-14.7","ACTUAL","100.0","4.0","ACTUAL","100.0","-5.9","AGGREGATED","100.0","66.6","AGGREGATED","100.0","24.3","AGGREGATED","100.0"
"Calgary Int'L CS","15-February-2018","-20.9","ACTUAL","100.0","-3.6","ACTUAL","100.0","-13.0","AGGREGATED","100.0","66.4","AGGREGATED","100.0","12.6","AGGREGATED","100.0"
"Calgary Int'L CS","16-February-2018","-10.7","ACTUAL","100.0","-1.7","ACTUAL","100.0","-4.6","AGGREGATED","100.0","53.9","AGGREGATED","100.0","22.0","AGGREGATED","100.0"
"Calgary Int'L CS","17-February-2018","-14.3","ACTUAL","100.0","-10.1","ACTUAL","100.0","-12.9","AGGREGATED","100.0","78.7","AGGREGATED","100.0","8.1","AGGREGATED","100.0"
