Realname,Name,Date,Air_Temp_Avg,sum(Heating_kWh),sum(Cooling_kWh),sum(Electricity_kWh),sum(Natural_Gas_kWh),sum(Domestic_Water_m3)
Administration,b6,2018-10,3.5935483870967735,427244.78623999987,10752.777558299997,118122.71999999881,4725.004739999999,169.29999999999998
Administration,b6,2018-11,-0.6566666666666667,474736.49090000003,0.0,113342.67000000179,6470.8461800000005,140.50000000000003
Administration,b6,2018-12,-3.5161290322580645,483194.8310000001,0.0,109900.09999999776,9043.063600000001,82.99999999999999
Administration,b6,2019-01,-3.938709677419355,513153.1883000001,0.0,115506.25,9380.563060000002,164.8
Administration,b6,2019-02,-18.524999999999995,649558.8529800002,0.0,109592.38000000268,13211.121679999998,138.89999999999998
Administration,b6,2019-03,-3.293548387096774,358853.06486,105.5055852,105420.1799999997,8713.891160000001,158.50000000000003
Administration,b6,2019-04,4.826666666666667,289083.56460000004,0.0,100358.14999999851,3851.391300000001,140.29999999999998
Administration,b6,2019-05,8.90967741935484,231697.4075799999,25620.274561600003,101856.8599999994,2429.16628,119.14999999999999
Administration,b6,2019-06,13.606666666666664,176969.58602,54265.04065290002,96161.08000000194,280.55578,114.4
Administration,b6,2019-07,15.66451612903226,166111.244,68911.16624000002,98994.41000000015,113.88898000000002,108.60000000000002
Administration,b6,2019-08,15.27741935483871,203669.60738,86963.95845999998,103710.2100000009,436.1114600000001,101.50000000000001
Administration,b6,2019-09,10.736666666666668,303816.90972,56745.88154,106023.61999999732,2.7777800000000004,157.89999999999998
Administration,b6,2019-10,2.016129032258065,491789.2823200001,6597.0297857000005,107916.6400000006,0.0,172.0
Administration,b6,2019-11,-2.25,756445.0496,0.0,115108.0399999991,5.555560000000001,127.69999999999996
Administration,b6,2019-12,-4.864516129032258,751506.15676,0.0,117080.70000000298,3183.3358800000005,86.19999999999996
Administration,b6,2020-01,-8.803225806451614,775733.9539199999,0.0,122264.13599999994,8394.45116,151.1
Administration,b6,2020-02,-3.668965517241378,615494.9368400001,0.0,115568.17100000009,5533.337760000001,141.19999999999996
Administration,b6,2020-03,-4.5516129032258075,508055.962,0.0,111472.3860000018,6300.005040000001,102.29999999999998
Administration,b6,2020-04,2.2766666666666664,369300.29544,0.0,99490.35700000077,4079.172540000001,29.700000000000006
Administration,b6,2020-05,9.509677419354837,316269.6974600001,29148.857192900003,103631.03000000119,1441.6638999999998,29.400000000000006
Administration,b6,2020-06,13.783333333333335,270580.77202000003,74859.1434101,98981.90500000119,125.0001,35.3
Administration,b6,2020-07,16.60322580645161,309253.02518000006,161496.81312350003,113434.12100000397,0.0,24.599999999999998
Administration,b6,2020-08,17.22258064516129,311097.47109999997,165426.8961722,114930.97099999711,0.0,28.700000000000003
Administration,b6,2020-09,12.62,302583.5754,73033.310644,104237.80100000277,2.7777800000000004,50.699999999999996
Administration,b6,2020-10,2.4870967741935486,385397.53054,17467.035772000003,101705.31200000271,5.555560000000001,49.80000000000002
Administration,b6,2020-11,-0.6799999999999997,481664.27422,199.2883276,108951.56199999899,4172.225560000001,67.19999999999999
Administration,b6,2020-12,-2.464516129032258,537214.31866,3083.1076564000005,115669.81799999997,8877.784880000001,45.00000000000001
Administration,b6,2021-01,-4.529032258064516,567622.6763200001,0.0,118594.00200000033,8294.451079999999,56.099999999999994
Administration,b6,2021-02,-12.628571428571428,556750.4454000001,920.2431598000001,106146.92799999937,7725.006180000001,50.9
Administration,b6,2021-03,1.7967741935483867,540728.21036,3370.317305,115744.27899999917,2666.6732200000006,68.30000000000001
Administration,b6,2021-04,4.203333333333333,506811.51656,0.0,112457.65700000152,947.2229800000003,47.6
Administration,b6,2021-05,8.996774193548385,462994.81484000006,25311.08161445,116692.35599999875,155.55568000000005,51.5
Administration,b6,2021-06,17.540000000000003,310391.91498000006,156529.25848699998,110879.40199999884,5.555560000000001,70.8
Administration,b6,2021-07,19.3483870967742,260230.76374,211210.45872760005,111596.87200000137,2.7777800000000004,70.8
Administration,b6,2021-08,16.609677419354842,247351.58676999994,116445.92824310005,104015.18200000003,141.66678000000002,81.59999999999998
Administration,b6,2021-09,12.993333333333332,231311.29616,50381.84764369999,102768.3209999986,0.0,92.69999999999999
