year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,3,31,15,0,1837.05,1837.4,1841.37,1835.96,26.528597,317
2023,3,31,15,15,1838.06,1827.89,1838.06,1827.63,21.466445,142
2023,3,31,15,30,1829.58,1827.62,1832.16,1827.1,7.072075,49
2023,3,31,15,45,1828.99,1829.19,1830,1827,3.761289,47
2023,3,31,16,0,1830.57,1831.08,1834.36,1830,10.821668,36
2023,3,31,16,15,1831.28,1825.03,1831.28,1825,35.111697,101
2023,3,31,16,30,1825.02,1826.47,1828.3,1820.03,48.775271,104
2023,3,31,16,45,1826.12,1830.19,1831.2,1826.12,50.753624,96
2023,3,31,17,0,1830.76,1831.07,1832.17,1828.43,41.272716,57
2023,3,31,17,15,1831.07,1829.77,1831.07,1827.33,45.322156,82
2023,3,31,17,30,1829.86,1825.53,1830.26,1825.07,11.216369,62
2023,3,31,17,45,1824.16,1825.52,1826.16,1822,106.113169,92
2023,3,31,18,0,1825.81,1824.14,1826.37,1824.01,6.753614,37
2023,3,31,18,15,1823.84,1824.6,1824.6,1821.58,1.253904,49
2023,3,31,18,30,1824.6,1824.43,1824.83,1822.57,46.902296,63
2023,3,31,18,45,1825.12,1822.83,1825.12,1822.2,29.290991,77
2023,3,31,19,0,1821.84,1822.31,1828.37,1818.37,58.376976,93
2023,3,31,19,15,1822.11,1824.22,1824.22,1820.3,29.766548,92
2023,3,31,19,30,1824.02,1827.37,1830.54,1824.02,22.590621,93
2023,3,31,19,45,1828.47,1830.15,1830.62,1826.77,12.263592,46
2023,3,31,20,0,1828.87,1825.02,1828.87,1824.81,8.821199,49
2023,3,31,20,15,1824.82,1822.1,1824.82,1820.35,13.177659,68
2023,3,31,20,30,1821.99,1824.34,1825.07,1818.83,40.402795,96
2023,3,31,20,45,1823.85,1817.01,1826.53,1815.79,21.680284,77
2023,3,31,21,0,1818.42,1818.96,1819.09,1815.88,17.835594,46
2023,3,31,21,15,1818.66,1821.84,1823.19,1818.65,20.338617,58
2023,3,31,21,30,1821.84,1827.81,1827.81,1821.62,6.385576,61
2023,3,31,21,45,1828.06,1824.51,1828.26,1822.2,64.505164,97
2023,3,31,22,0,1824.51,1824.6,1827.14,1823.02,21.709814,96
2023,3,31,22,15,1824.95,1826.84,1829.06,1823.72,80.660194,71
2023,3,31,22,30,1827.52,1828.3,1830.06,1825.69,4.513155,41
2023,3,31,22,45,1827.94,1826.55,1829.9,1825.93,11.633498,48
2023,3,31,23,0,1825.39,1825.31,1826.99,1825.31,31.85491,63
2023,3,31,23,15,1825.14,1826.21,1826.54,1824.11,95.811658,66
2023,3,31,23,30,1825.87,1823.34,1826.55,1823.1,10.993491,45
2023,3,31,23,45,1823.48,1821.86,1823.48,1820.76,17.986264,57
2023,4,1,0,0,1822.11,1824.27,1825.04,1821.74,12.0398,30
2023,4,1,0,15,1824.37,1824.6,1828.35,1823.8,16.077358,85
2023,4,1,0,30,1824.91,1821.44,1824.91,1820.37,8.211348,57
2023,4,1,0,45,1820,1822.77,1826.85,1817.03,78.2253,86
2023,4,1,1,0,1823.01,1823.64,1824.62,1821.61,13.008825,26
2023,4,1,1,15,1823.86,1825.01,1826.1,1823.86,23.373195,73
2023,4,1,1,30,1826.29,1826.89,1828.8,1825.93,4.96803,34
2023,4,1,1,45,1827.19,1834.24,1834.68,1826.89,54.075176,85
2023,4,1,2,0,1833.27,1833.2,1841.57,1832.92,26.167733,107
2023,4,1,2,15,1833.29,1830,1834.32,1828.29,14.776331,84
2023,4,1,2,30,1830,1827.26,1830.01,1825.56,6.389687,49
2023,4,1,2,45,1828.5,1830.12,1830.91,1827.08,1.419902,29
2023,4,1,3,0,1830.27,1828.68,1830.32,1828.31,4.670045,24
2023,4,1,3,15,1828.34,1827.17,1829.75,1827.15,5.925247,39
2023,4,1,3,30,1827.17,1826.64,1828.91,1825.03,12.469919,48
2023,4,1,3,45,1827.13,1826.9,1828.42,1826.86,1.004777,17
2023,4,1,4,0,1826.4,1826.39,1828.23,1825.01,22.854859,63
2023,4,1,4,15,1827.37,1826.94,1827.37,1825.54,6.851805,36
2023,4,1,4,30,1826.66,1828.52,1829.49,1825.19,27.114924,46
2023,4,1,4,45,1829.01,1827.84,1830.87,1827.61,0.293773,21
2023,4,1,5,0,1828.18,1825.12,1828.18,1825.12,0.751234,19
2023,4,1,5,15,1826.12,1821.72,1826.6,1821.44,1.741215,69
2023,4,1,5,30,1822.22,1824.5,1824.76,1821.77,2.26207,38
2023,4,1,5,45,1824.98,1825.72,1825.72,1824.79,6.610195,4
2023,4,1,6,0,1826.47,1824.93,1826.47,1824.41,1.697188,19
2023,4,1,6,15,1825.3,1819.09,1825.3,1819.09,44.714218,92
2023,4,1,6,30,1819.2,1821.33,1821.76,1814.55,14.223118,69
2023,4,1,6,45,1821.99,1824.27,1824.51,1820.9,0.440427,21
2023,4,1,7,0,1824.21,1823.38,1824.24,1822.59,0.524666,17
2023,4,1,7,15,1822.83,1825.01,1826.08,1820.9,2.44762,52
2023,4,1,7,30,1825.82,1825.39,1826.63,1824.52,1.094093,20
