Property Id,Property_Type,Number of Buildings,Year_Built,Property_GFA,Site_Energy,Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Emissions_CO2,Emissions_Intensity,Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity,Natural_Gas,Year Ending,Precipitation,Corn_Heat_Unit,Heating_Degree_Days,Cooling_Degree_Days
21988606,Fitness Center/Health Club/Gym,1,1976,1588.4,7971.5,7971.5,5.02,5.02,9677.7,9677.7,6.09,6.09,644.8,406.1,321.4,202.4,475591,6259.4,2020,832.8,"2,193.00","4,970.20",58.3
21988608,Office,1,1976,525.4,465.6,485.9,0.89,0.92,663,688.7,1.26,1.31,51.8,98.6,13.5,25.7,56349.8,262.8,2020,832.8,"2,193.00","4,970.20",58.3
21988609,Office,1,1919,1388.3,3191.1,3339.6,2.3,2.41,3585.3,3735.2,2.58,2.69,216.3,155.8,144.3,103.9,105920.8,2809.8,2020,832.8,"2,193.00","4,970.20",58.3
21988611,Other - Recreation,1,1965,113.1,158.2,161.2,1.4,1.43,310,316,2.74,2.79,29.9,264.3,0,0,43938.2,,2020,832.8,"2,193.00","4,970.20",58.3
21988613,Fire Station,1,1994,378.5,424.4,436.7,1.12,1.16,500.7,511.5,1.32,1.35,32.2,85.2,17.9,47.4,21054.1,348.6,2020,832.8,"2,193.00","4,970.20",58.3
21988614,Other - Public Services,1,1975,419.6,620.9,648.7,1.48,1.55,754.7,782.7,1.8,1.87,50.3,120,25,59.6,37287.5,486.7,2020,832.8,"2,193.00","4,970.20",58.3
21988616,Office,1,1976,352.7,520.9,538.7,1.48,1.53,725.5,744.1,2.06,2.11,55.6,157.7,16,45.3,58327,310.9,2020,832.8,"2,193.00","4,970.20",58.3
21988617,Fitness Center/Health Club/Gym,1,1982,14418.8,34694,35340.4,2.41,2.45,44375.5,45028.5,3.08,3.12,3104.6,215.3,1247.4,86.5,2731173.9,24292.3,2020,832.8,"2,193.00","4,970.20",58.3
21988618,Fire Station,1,1998,1317,2186.3,2223.4,1.66,1.69,2841.5,2879,2.16,2.19,203.8,154.7,77.8,59.1,185207.1,1515.7,2020,832.8,"2,193.00","4,970.20",58.3
21988619,Fire Station,1,1987,945.1,1534,1589.6,1.62,1.68,1941.2,1997.3,2.05,2.11,135.5,143.4,57.6,60.9,114580,1121.5,2020,832.8,"2,193.00","4,970.20",58.3
21988620,Fitness Center/Health Club/Gym,1,1900,13072.6,69438.7,70916.3,5.31,5.42,72898,74390.3,5.58,5.69,3966,303.4,3416.2,261.3,808479.6,66528.3,2020,832.8,"2,193.00","4,970.20",58.3
21988621,Other - Public Services,1,1975,1069.8,1379.1,1438.7,1.29,1.34,1638,1701,1.53,1.59,106.3,99.4,57.6,53.8,71651.5,1121.2,2020,832.8,"2,193.00","4,970.20",58.3
21988622,Fire Station,1,1988,927.8,1046.4,1070.5,1.13,1.15,1394.6,1419,1.5,1.53,102.6,110.6,35.5,38.2,98752.4,690.9,2020,832.8,"2,193.00","4,970.20",58.3
